% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
293	1	7	29	0	28	549	0	1	0
293	2	7	29	0	28	549	0	1	1
294	1	4	78	0	28	549	0	1	0
294	2	4	78	0	28	549	0	1	1
295	1	9	39	0	28	549	0	1	0
295	2	9	39	0	28	549	0	1	1
296	1	12	82	0	28	549	0	1	0
296	2	12	82	0	28	549	0	1	1
297	1	2	50	0	28	549	0	1	0
297	2	2	50	0	28	549	0	1	1
298	1	14	1	0	28	549	0	1	0
298	2	14	1	0	28	549	0	1	1
299	1	1	87	0	28	549	0	1	0
299	2	1	87	0	28	549	0	1	1
300	1	11	58	0	28	549	0	1	0
300	2	11	58	0	28	549	0	1	1
301	1	15	12	0	28	549	0	1	0
301	2	15	12	0	28	549	0	1	1
302	1	6	91	0	28	549	0	1	0
302	2	6	91	0	28	549	0	1	1
303	1	10	63	0	28	549	0	1	0
303	2	10	63	0	28	549	0	1	1
304	1	5	20	0	28	549	0	1	0
304	2	5	20	0	28	549	0	1	1
305	1	13	94	0	28	549	0	1	0
305	2	13	94	0	28	549	0	1	1
306	1	3	96	0	28	549	0	1	0
306	2	3	96	0	28	549	0	1	1
307	1	8	71	0	28	549	0	1	0
307	2	8	71	0	28	549	0	1	1
308	1	7	29	0	28	549	0	1	0
308	2	7	29	0	28	549	0	1	1
309	1	4	78	0	28	549	0	1	0
309	2	4	78	0	28	549	0	1	1
310	1	9	39	0	28	549	0	1	0
310	2	9	39	0	28	549	0	1	1
311	1	12	82	0	28	549	0	1	0
311	2	12	82	0	28	549	0	1	1
1627	2	1	1	0	0	81	0	1	0
312	1	2	50	0	28	549	0	1	0
312	2	2	50	0	28	549	0	1	1
313	1	14	1	0	28	549	0	1	0
313	2	14	1	0	28	549	0	1	1
1642	2	1	1	0	28	2196	0	1	0
1643	2	1	1	0	28	2196	0	1	0
314	1	1	87	0	28	549	0	1	0
1644	2	1	1	0	28	2196	0	1	0
314	2	1	87	0	28	549	0	1	1
1645	2	1	1	0	28	2196	0	1	0
1646	2	1	1	0	28	2196	0	1	0
1647	2	1	1	0	28	2196	0	1	0
1648	2	1	1	0	28	2196	0	1	0
1649	2	1	1	0	28	2196	0	1	0
315	1	11	58	0	28	549	0	1	0
315	2	11	58	0	28	549	0	1	1
1650	2	1	1	0	28	2196	0	1	0
1651	2	1	1	0	28	2196	0	1	0
1652	2	1	1	0	28	2196	0	1	0
316	1	15	12	0	28	549	0	1	0
316	2	15	12	0	28	549	0	1	1
1653	2	1	1	0	28	2196	0	1	0
1654	2	1	1	0	28	2196	0	1	0
1655	2	1	1	0	28	2196	0	1	0
1656	2	1	1	0	28	2196	0	1	0
317	1	6	91	0	28	549	0	1	0
317	2	6	91	0	28	549	0	1	1
1657	2	1	1	0	28	2196	0	1	0
1658	2	1	1	0	28	2196	0	1	0
318	1	10	63	0	28	549	0	1	0
318	2	10	63	0	28	549	0	1	1
1659	2	1	1	0	28	2196	0	1	0
1660	2	1	1	0	28	2196	0	1	0
